NameOfClg,Name,ModeOfEntry,Relation,Sex,IdentityProof,IdentityProofNo,Ph_no,PurposeOfVisit,Department,MeetingPerson,NumberOfPersons,Pic_loc,Pdf_loc,Date
St. Josephs College Of Engineering,snekas,Hostel Parent,Grand Father,Female,License,123,9444,dgvd,B.E. - ECE,DEAN,2,/home/snekha/hackathons/Reception_SJCE/Reception_website/Final_website,../static/shot/,2023-01-12
St. Josephs Institute Of Technology,ssfsd,Parent,Grand Father,Male,License,123,9444,dgvd,M.B.A,LIBRARY,2,/home/snekha/hackathons/Reception_SJCE/Reception_website/Final_website,../static/shot/,2023-01-12
St. Josephs Institute Of Technology,ssfsd,Parent,Grand Father,Male,License,123,232,dgvd,M.B.A,LIBRARY,2,/home/snekha/hackathons/Reception_SJCE/Reception_website/Final_website,../static/shot/,2023-01-12
St. Josephs College Of Engineering,bhbk,Hostel Parent,Father,Choose...,Choose...,,,,Choose...,Choose...,,Choose...,Choose...,2023-01-12
St. Josephs College Of Engineering,bhbk,Hostel Parent,Father,Male,License,282903,209,2gikhb,B.E. - ECE,DEAN,3,Choose...,Choose...,2023-01-12
St. Josephs College Of Engineering,hii,Parent,Grand Father,Male,Voter ID,554,787\,,Choose...,Choose...,,Choose...,Choose...,2023-01-12
St. Josephs College Of Engineering,hii,Hostel Parent,Mother,Male,License,56,855,2gikhb,B.E. - EEE,CHAIRMAN,4,Choose...,Choose...,2023-01-12
St. Josephs College Of Engineering,fyjhk,Hostel Parent,Sister,Female,License,56,45,2gikhb,B.E. - CIVIL,HEAD OF DEPARTMENT,5,Choose...,Choose...,2023-01-12
St. Josephs Institute Of Technology,vgujg,Parents,Grand Father,Female,Voter ID,56,45,2gikhb,B.E. - ICE,CHAIRMAN,4,Choose...,Choose...,2023-01-12
St. Josephs Institute Of Technology,vgujg,Parents,Grand Father,Female,Voter ID,56,45,2gikhb,B.E. - ICE,CHAIRMAN,4,Choose...,Choose...,2023-01-12
St. Josephs Institute Of Technology,vgujg,Parents,Grand Father,Female,Voter ID,56,45,2gikhb,B.E. - ICE,CHAIRMAN,4,Choose...,Choose...,2023-01-12
St. Josephs Institute Of Technology,vgujg,Parents,Grand Father,Female,Voter ID,56,45,2gikhb,B.E. - ICE,CHAIRMAN,4,Choose...,Choose...,2023-01-12
St. Josephs Institute Of Technology,vgujg,Parents,Grand Father,Female,Voter ID,56,45,2gikhb,B.E. - ICE,CHAIRMAN,4,Choose...,Choose...,2023-01-12
St. Josephs Institute Of Technology,hii,Parent,Grand Father,Male,Voter ID,56,45,2gikhb,M.E. - CSE,MANAGING DIRECTOR,4,Choose...,Choose...,2023-01-12
St. Josephs College Of Engineering,vgujg,Hostel Parent,Grand Father,Male,Voter ID,282903,209,2gikhb,B.E. - EIE,MANAGING DIRECTOR,3,Choose...,Choose...,2023-01-12
St. Josephs Institute Of Technology,hii,Parent,Grand Father,Male,PAN Card,56,209,2gikhb,M.E. - CSE,PLACECMENT,4,/home/kishore/Reception_website/Final_website,../static/shot/,2023-01-12
St. Josephs Institute Of Technology,hii,Hostel Parent,Grand Father,Male,License,282903,209,2gikhb,B.E. - ICE,MANAGING DIRECTOR,3,/home/kishore/Reception_website/Final_website,../static/shot/,2023-01-12
St. Josephs Institute Of Technology,bhbk,Parent,Mother,Female,PAN Card,282903,209,2gikhb,B.E. - ICE,MANAGING DIRECTOR,3,/home/kishore/Reception_website/Final_website,../static/shot/,2023-01-12
St. Josephs College Of Engineering,vgujg,Parent,Grand Father,Male,Voter ID,282903,209,2gikhb,B.E. - CIVIL,CHAIRMAN,4,/home/kishore/Reception_website/Final_website,../static/shot/,2023-01-12
St. Josephs College Of Engineering,hii,Parent,Mother,Male,Aadhaar ID,282903,209,2gikhb,B.E. - EEE,MANAGING DIRECTOR,4,/home/kishore/Reception_website/Final_website,../static/shot/,2023-01-12
St. Josephs College Of Engineering,bhbk,Parent,Grand Mother,Male,Voter ID,282903,209,2gikhb,B.E. - EEE,DEAN,3,/home/kishore/Reception_website/Final_website,../static/shot/,2023-01-12
St. Josephs College Of Engineering,hii,Hostel Parent,Mother,Male,License,282903,209,2gikhb,B.E. - EEE,MANAGER,3,/home/kishore/Reception_website/Final_website,../static/shot/,2023-01-12
St. Josephs College Of Engineering,hii,Parent,Grand Father,Female,Voter ID,282903,209,2gikhb,M.E. - Applied Electronics,CHAIRMAN,3,/home/kishore/Reception_website/Final_website,../static/shot/,2023-01-12
St. Josephs College Of Engineering,vgujg,Parent,Mother,Male,License,56,45,2gikhb,B.E. - ICE,DEAN,4,/home/kishore/Reception_website/Final_website,../static/shot/,2023-01-12
St. Josephs College Of Engineering,hii,Parent,Father,Male,Voter ID,282903,209,2gikhb,B.E. - CIVIL,DEAN,4,/home/kishore/Reception_website/Final_website,../static/shot/,2023-01-12
St. Josephs College Of Engineering,abcd,Parent,Father,Male,Aadhaar ID,8899929,278,ghjbkfv,B.E. - EEE,PRINCIPAL,4,/home/kishore/Reception_website/Final_website,../static/shot/,2023-01-12
St. Josephs College Of Engineering,abcd,Hostel Parent,Mother,Female,License,55855,45858,iyvjsblc,B.Tech. - ADS,DEAN,4,/home/kishore/Reception_website/Final_website,../static/shot/
St. Josephs College Of Engineering,hii,Parent,Grand Mother,Male,Ration Card,56,45,ghjbkfv,B.E. - ICE,CHAIRMAN,4,/home/kishore/Reception_website/Final_website,../static/shot/,2023-01-12
St. Josephs College Of Engineering,asd,Parents,Mother,Male,Voter ID,56465,45965,asfdf,B.E. - ECE,PRINCIPAL,78,/home/sanjiv/Reception_website/Final_website,../static/shot/,2023-01-12
St. Josephs College Of Engineering,asd,Parents,Grand Father,Male,Aadhaar ID,56465,45965,asfdf,B.E. - CSE,HEAD OF DEPARTMENT,78,/home/sanjiv/Reception_website/Final_website,../static/shot/,2023-01-12
St. Josephs College Of Engineering,asd,Hostel Parent,Mother,Male,Voter ID,56465,45965,asfdf,B.E. - ECE,PRINCIPAL,78,/home/sanjiv/Reception_web/Final_website,../static/shot/,2023-01-12
St. Josephs College Of Engineering,asd,Parents,Father,Male,Voter ID,5646,123,hjg,B.Tech. - Biotechnology,DEAN,1,/home/sanjiv/Reception_web/Final_website,../static/shot/,2023-01-12
St. Josephs College Of Engineering,asd,Parent,Grand Father,Male,License,5646,23345,hjg,B.E. - EEE,CHAIRMAN,1,/home/sanjiv/Reception_web/Final_website,../static/shot/,2023-01-12
St. Josephs College Of Engineering,asd,Parent,Grand Father,Male,PAN Card,56465,232343,asfdf,B.E. - EEE,DEAN,78,/home/sanjiv/Reception_web/Final_website,../static/shot/,2023-01-12
St. Josephs College Of Engineering,rr,Parent,Mother,Male,Aadhaar ID,ee,9999,taking home,B.Tech. - ADS,PRINCIPAL,3,Choose...,Choose...,2023-01-12
St. Josephs College Of Engineering,rr,Parent,Mother,Male,Aadhaar ID,ee,9999,taking home,B.Tech. - ADS,PRINCIPAL,3,/home/sanjiv/Reception_web/Final_website,../static/shot/,2023-01-12
